name,manufacturer,energy,protein,carbohydrate,dietary_fibre
All Bran,Kelloggs,1399,15,47.8,27.5
Bran Flakes,Kelloggs,1428,11.6,59.2,17.4
Crispix - Cocoa,Kelloggs,1602,6.7,85.6,1.1
Crispix - Honey,Kelloggs,1626,6,88.5,1.1
Cornflakes,Kelloggs,1582,7.8,83.6,2.6
Cornflakes - Crunchy Nuts,Kelloggs,1681,7.1,80.8,2.5
Coco Pops,Kelloggs,1607,5.4,88.5,1.2
Froot Loops - Humungo,Kelloggs,1670,6.1,86.3,2.3
Froot Loops,Kelloggs,1637,6.4,85.5,2.4
Just Right - Original,Kelloggs,1489,8.1,72.1,8.3
Just Right - Fruits n Flakes,Kelloggs,1588,7.1,69.7,8.9
Just Right - Just Grain,Kelloggs,1549,9.4,74.9,8
Mini Wheat - Whole Wheat,Kelloggs,1596,10.6,81.3,11.6
Mini Wheat - Blackcurrent,Kelloggs,1446,9.1,70.1,9.2
Nutri-Grain,Kelloggs,1596,21.9,69.4,2.7
Nutri-Grain - Choc Malt,Kelloggs,1592,23.1,67.8,3.1
Rice Bubbles,Kelloggs,1603,6.7,86.2,1.1
Special - K,Kelloggs,1573,19.7,70.8,2.5
Special - Red Fruits,Kelloggs,1550,19.9,67.8,4.2
Sustain,Kelloggs,1568,8.9,74.2,6.4
Sultana Bran,Kelloggs,1419,9.5,63.6,14.2
Vita Brits - Organic,Uncle Toby,1500,11.8,79.1,12
Vita Brits,Uncle Toby,1300,9.6,55.8,12.8
Healthwise (Women 40+),Uncle Toby,1430,11.9,62.5,9.5
Healthwise,Uncle Toby,1310,9,51.8,20.6
Bran Plus,Uncle Toby,1180,14.9,72.7,46.1
Sultanas n Bran,Uncle Toby,1450,8.4,78.3,15.1
Lite Start,Uncle Toby,1390,9.8,63.1,10.3
Sport Plus,Uncle Toby,1550,11.2,78.2,8.8
Flakes Plus,Uncle Toby,1470,9,64.2,14.3
Muesli Flakes,Uncle Toby,1500,9.4,81.4,11.6
Oat Flakes,Uncle Toby,1610,10.1,79,7.2
Original Weeties,Uncle Toby,1300,9.6,56.1,12.8
Fruity Bites - Apricot,Uncle Toby,1570,9.19,84.1,9.3
Puffed Wheat,Sanitarium,1550,11.6,73,6.7
Honey Weets,Sanitarium,1550,8,79,5.5
Light n Tasty,Sanitarium,1550,7.6,75,6.5
Weet-Bix,Sanitarium,1480,12,67,11
Weet-Bix Hi Bran (Hi Fibre),Sanitarium,1460,11.5,55.9,18.3
Good Start,Sanitarium,1580,10.3,67.6,9.3
Fruity Bix - Fruit & Nuts,Sanitarium,1380,10.4,66,10.4
Cornflakes,Sanitarium,1530,7.6,80,3.1
Fruity Bix - Tropical,Sanitarium,1490,8.3,72.3,9.3
